date,close,micras
2007,103.0392153,22.5
2008,98.94962253,19.17
2009,97.09295702,18.97
2010,91.9375045,18.8
2011,89.38897342,18.38
2012,89.40587611,18.07
2013,88.68677867,18.34
2014,88.98810683,18.51
2015,89.45281175,18.74
2016,90.56589791,18.46
2017,88.77429058,18.65
2018,86.62,18.23
