"ARETE","AÑO","Estado","SEXO","RAZA","COLOR","MIC_VG"
"457-18","2018","PT","H","HU","B","-1.2149"
"298-16","2018","PT","H","HU","B","-1.214"
"397-13","2018","PT","H","HU","B","-1.2065"
"407-12","2018","PT","H","HU","B","-1.2058"
"069-05","2018","PT","H","HU","B","-1.2002"
"059-09","2018","PT","H","HU","B","-1.1991"
"437-18","2018","PT","H","HU","B","-1.1976"
"169-13","2018","PT","H","HU","B","-1.189"
"455-18","2018","PT","H","HU","B","-1.1879"
"401-17","2018","PT","H","HU","B","-1.1857"
"253-17","2018","PT","H","HU","B","-1.1792"
"019-18","2018","PT","H","HU","B","-1.1781"
"138-15","2018","PT","H","HU","B","-1.1767"
"292-13M","2018","PT","M","HU","B","-1.1749"
"231-10","2018","PT","H","HU","B","-1.1711"
"174-18M","2018","PT","M","HU","B","-1.1669"
"033-10","2018","PT","H","HU","B","-1.1619"
"060-17","2018","PT","H","HU","B","-1.1578"
"002-18","2018","PT","H","HU","B","-1.1537"
"390-13","2018","PT","H","HU","B","-1.1514"
"032-10","2018","PT","H","HU","B","-1.147"
"293-05","2018","PT","H","HU","B","-1.144"
"089-10","2018","PT","H","HU","B","-1.1424"
"613-13","2018","PT","H","HU","B","-1.1382"
"467-12","2018","PT","H","HU","B","-1.1321"
"156-18M","2018","PT","M","HU","B","-1.1316"
"098-17M","2018","PT","M","HU","B","-1.1311"
"043-18M","2018","PT","M","HU","B","-1.1285"
"467-17","2018","PT","H","HU","B","-1.1279"
"071-18M","2018","PT","M","HU","B","-1.1235"
"621-17M","2018","PT","M","HU","B","-1.1207"
"384-15C","2018","PT","H","HU","B","-1.1174"
"009-17","2018","PT","H","HU","B","-1.1112"
"276-09M","2018","PT","M","HU","B","-1.1073"
"158-11","2018","PT","H","HU","B","-1.106"
"457-13M","2018","PT","M","HU","B","-1.0967"
"065-16M","2018","PT","M","HU","B","-1.0965"
"150-10","2018","PT","H","HU","B","-1.0935"
"039-13","2018","PT","H","HU","B","-1.0886"
"270-12","2018","PT","H","HU","B","-1.0852"
"084-13","2018","PT","H","HU","B","-1.0849"
"213-12","2018","PT","H","HU","B","-1.0805"
"251-17","2018","PT","H","HU","B","-1.0746"
"134-17","2018","PT","H","HU","B","-1.0694"
"099-18","2018","PT","H","HU","B","-1.068"
"220-16","2018","PT","H","HU","B","-1.0673"
"299-10","2018","PT","H","HU","B","-1.0617"
"036-13","2018","PT","H","HU","B","-1.0579"
"416-17","2018","PT","H","HU","B","-1.0534"
"263-16","2018","PT","H","HU","B","-1.0483"
"366-17","2018","PT","H","HU","B","-1.0465"
"351-18M","2018","PT","M","HU","B","-1.0415"
"585-18","2018","PT","H","HU","B","-1.0401"
"096-09","2018","PT","H","HU","B","-1.0341"
"332-17M","2018","PT","M","HU","B","-1.0281"
"613-17","2018","PT","H","HU","B","-1.0251"
"218-18M","2018","PT","M","HU","B","-1.0195"
"442-18M","2018","PT","M","HU","B","-1.0165"
"411-17M","2018","PT","M","HU","B","-1.0131"
"114-18M","2018","PT","M","HU","B","-1.0031"
"116-14","2018","PT","H","HU","B","-1.0028"
"076-17","2018","PT","H","HU","B","-0.9928"
"550-08M","2018","PT","M","HU","B","-0.9909"
"039-16","2018","PT","H","HU","B","-0.9879"
"188-17","2018","PT","H","HU","B","-0.9879"
"260-13","2018","PT","H","HU","B","-0.9871"
"601-16","2018","PT","H","HU","B","-0.9842"
"507-06","2018","PT","H","HU","B","-0.9808"
"217-12","2018","PT","H","HU","B","-0.9804"
"323-18","2018","PT","H","HU","B","-0.9798"
"501-16M","2018","PT","M","HU","B","-0.9646"
"356-10","2018","PT","H","HU","B","-0.9619"
"263-11","2018","PT","H","HU","B","-0.9554"
"565-08","2018","PT","H","HU","B","-0.9518"
"121-17","2018","PT","H","HU","B","-0.9462"
"374-18M","2018","PT","M","HU","B","-0.9462"
"271-12","2018","PT","H","HU","B","-0.9445"
"021-06A","2018","PT","H","HU","B","-0.9437"
"548-17","2018","PT","H","HU","B","-0.9384"
"389-17","2018","PT","H","HU","B","-0.9328"
"574-07","2018","PT","H","HU","B","-0.9288"
"564-16","2018","PT","H","HU","B","-0.928"
"414-16","2018","PT","H","HU","B","-0.9245"
"234-18M","2018","PT","M","HU","B","-0.9175"
"352-18","2018","PT","H","HU","B","-0.9132"
"041-13","2018","PT","H","HU","B","-0.913"
"173-16","2018","PT","H","HU","B","-0.9117"
"489-09","2018","PT","H","HU","B","-0.9111"
"459-17","2018","PT","H","HU","B","-0.9078"
"469-14","2018","PT","H","HU","B","-0.9054"
"164-05","2018","PT","H","HU","B","-0.9026"
"417-13","2018","PT","H","HU","B","-0.8964"
"572-18","2018","PT","H","HU","B","-0.8953"
"527-17","2018","PT","H","HU","B","-0.8929"
"084-18M","2018","PT","M","HU","B","-0.8921"
"305-17","2018","PT","H","HU","B","-0.8902"
"637-17","2018","PT","H","HU","B","-0.8895"
"412-14","2018","PT","H","HU","B","-0.8891"
"635-17","2018","PT","H","HU","B","-0.8847"
"321-12","2018","PT","H","HU","B","-0.879"
"009-16M","2018","PT","M","HU","B","-0.8788"
"159-17M","2018","PT","M","HU","B","-0.8784"
"006-18M","2018","PT","M","HU","B","-0.877"
"322-18","2018","PT","H","HU","B","-0.8671"
"539-17","2018","PT","H","HU","B","-0.8662"
"297-10M","2018","PT","M","HU","B","-0.8656"
"542-16","2018","PT","H","HU","B","-0.8645"
"012-18M","2018","PT","M","HU","B","-0.8554"
"210-06","2018","PT","H","HU","B","-0.853"
"020-17M","2018","PT","M","HU","B","-0.8528"
"032-09","2018","PT","H","HU","B","-0.8481"
"375-12","2018","PT","H","HU","B","-0.8427"
"583-18","2018","PT","H","HU","B","-0.8288"
"455-16","2018","PT","H","HU","B","-0.8226"
"260-16M","2018","PT","M","HU","B","-0.8213"
"432-08","2018","PT","H","HU","B","-0.8208"
"095-12","2018","PT","H","HU","B","-0.8135"
"254-15M","2018","PT","M","HU","B","-0.8112"
"490-07","2018","PT","H","HU","B","-0.8062"
"443-18","2018","PT","H","HU","B","-0.8025"
"316-16M","2018","PT","M","HU","B","-0.8019"
"374-09","2018","PT","H","HU","B","-0.8017"
"011-16","2018","PT","H","HU","B","-0.7949"
"087-16","2018","PT","H","HU","B","-0.7853"
"117-12","2018","PT","H","HU","B","-0.785"
"513-18M","2018","PT","M","HU","B","-0.782"
"087-07","2018","PT","H","HU","B","-0.7789"
"067-18M","2018","PT","M","HU","B","-0.7788"
"323-17","2018","PT","H","HU","B","-0.7765"
"312-18","2018","PT","H","HU","B","-0.7697"
"244-10","2018","PT","H","HU","B","-0.7689"
"128-17","2018","PT","H","HU","B","-0.7635"
"276-12","2018","PT","H","HU","B","-0.7598"
"010-17","2018","PT","H","HU","B","-0.7529"
"084-16","2018","PT","H","HU","B","-0.7488"
"430-18","2018","PT","H","HU","B","-0.7435"
"259-12","2018","PT","H","HU","B","-0.7401"
"349-09","2018","PT","H","HU","B","-0.7373"
"013-16M","2018","PT","M","HU","B","-0.7371"
"342-16","2018","PT","H","HU","B","-0.7368"
"309-16","2018","PT","H","HU","B","-0.7333"
"207-13","2018","PT","H","HU","B","-0.732"
"012-12","2018","PT","H","HU","B","-0.7284"
"395-18M","2018","PT","M","HU","B","-0.7268"
"046-18M","2018","PT","M","HU","B","-0.7224"
"045-17","2018","PT","H","HU","B","-0.7143"
"502-18","2018","PT","H","HU","B","-0.7097"
"301-13","2018","PT","H","HU","B","-0.707"
"249-17","2018","PT","H","HU","B","-0.7005"
"097-14M","2018","PT","M","HU","B","-0.6953"
"373-17","2018","PT","H","HU","B","-0.695"
"305-15M","2018","PT","M","HU","B","-0.6935"
"549-07","2018","PT","H","HU","B","-0.681"
"338-09","2018","PT","H","HU","B","-0.6809"
"152-08","2018","PT","H","HU","B","-0.6781"
"064-11M","2018","PT","M","HU","B","-0.6776"
"400-08","2018","PT","H","HU","B","-0.674"
"427-18M","2018","PT","M","HU","B","-0.6716"
"372-08","2018","PT","H","HU","B","-0.6684"
"203-18","2018","PT","H","HU","B","-0.6671"
"497-16","2018","PT","H","HU","B","-0.6651"
"631-13","2018","PT","H","HU","B","-0.6637"
"290-05","2018","PT","H","HU","B","-0.6622"
"203-17","2018","PT","H","HU","B","-0.6566"
"346-17","2018","PT","H","HU","B","-0.6508"
"284-06","2018","PT","H","HU","B","-0.6495"
"434-16","2018","PT","H","HU","B","-0.6327"
"009-09","2018","PT","H","HU","B","-0.6303"
"508-17","2018","PT","H","HU","B","-0.6289"
"280-16","2018","PT","H","HU","B","-0.6214"
"589-08","2018","PT","H","HU","B","-0.6211"
"121-18M","2018","PT","M","HU","B","-0.6199"
"061-08","2018","PT","H","HU","B","-0.6118"
"014-12M","2018","PT","M","HU","B","-0.6103"
"057-16M","2018","PT","M","HU","B","-0.6092"
"052-18M","2018","PT","M","HU","B","-0.5972"
"375-17M","2018","PT","M","HU","B","-0.5895"
"013-13","2018","PT","H","HU","B","-0.5883"
"474-16","2018","PT","H","HU","B","-0.5813"
"343-18M","2018","PT","M","HU","B","-0.5653"
"339-17","2018","PT","H","HU","B","-0.5605"
"472-08","2018","PT","H","HU","B","-0.5561"
"247-18","2018","PT","H","HU","B","-0.5548"
"039-14M","2018","PT","M","HU","B","-0.5539"
"049-12","2018","PT","H","HU","B","-0.5486"
"053-16","2018","PT","H","HU","B","-0.5475"
"625-09M","2018","PT","M","HU","B","-0.546"
"132-07","2018","PT","H","HU","B","-0.5414"
"579-18M","2018","PT","M","HU","B","-0.539"
"110-05","2018","PT","H","HU","B","-0.5375"
"285-18","2018","PT","H","HU","B","-0.5343"
"336-18M","2018","PT","M","HU","B","-0.5329"
"526-13","2018","PT","H","HU","B","-0.5282"
"345-18","2018","PT","H","HU","B","-0.5259"
"021-17","2018","PT","H","HU","B","-0.5215"
"065-17M","2018","PT","M","HU","B","-0.5205"
"653-10","2018","PT","H","HU","B","-0.516"
"118-09","2018","PT","H","HU","B","-0.5159"
"032-16","2018","PT","H","HU","B","-0.5155"
"420-18","2018","PT","H","HU","B","-0.5137"
"183-16","2018","PT","H","HU","B","-0.5123"
"391-06","2018","PT","H","HU","B","-0.5113"
"272-14","2018","PT","H","HU","B","-0.5065"
"268-17M","2018","PT","M","HU","B","-0.5"
"331-14","2018","PT","H","HU","B","-0.4979"
"196-18","2018","PT","H","HU","B","-0.4923"
"174-05","2018","PT","H","HU","B","-0.475"
"378-10","2018","PT","H","HU","B","-0.4745"
"611-09","2018","PT","H","HU","B","-0.469"
"528-13","2018","PT","H","HU","B","-0.4669"
"403-12","2018","PT","H","HU","B","-0.4519"
"077-16","2018","PT","H","HU","B","-0.4476"
"175-16","2018","PT","H","HU","B","-0.4473"
"267-07","2018","PT","H","HU","B","-0.4451"
"617-10","2018","PT","H","HU","B","-0.443"
"359-17","2018","PT","H","HU","B","-0.4302"
"496-16","2018","PT","H","HU","B","-0.4288"
"160-12","2018","PT","H","HU","B","-0.424"
"210-10","2018","PT","H","HU","B","-0.4157"
"564-17","2018","PT","H","HU","B","-0.4157"
"399-12","2018","PT","H","HU","B","-0.4154"
"166-18M","2018","PT","M","HU","B","-0.4141"
"132-15M","2018","PT","M","HU","B","-0.4133"
"024-09","2018","PT","H","HU","B","-0.4115"
"311-18M","2018","PT","M","HU","B","-0.4085"
"082-08","2018","PT","H","HU","B","-0.3998"
"344-13","2018","PT","H","HU","B","-0.3982"
"544-16","2018","PT","H","HU","B","-0.397"
"481-12","2018","PT","H","HU","B","-0.3817"
"016-16","2018","PT","H","HU","B","-0.379"
"351-16","2018","PT","H","HU","B","-0.379"
"150-13","2018","PT","H","HU","B","-0.3665"
"574-08","2018","PT","H","HU","B","-0.3648"
"142-12","2018","PT","H","HU","B","-0.3543"
"026-14","2018","PT","H","HU","B","-0.3514"
"231-17","2018","PT","H","HU","B","-0.3501"
"140-10","2018","PT","H","HU","B","-0.3494"
"624-17","2018","PT","H","HU","B","-0.3455"
"167-18M","2018","PT","M","HU","B","-0.3415"
"092-17","2018","PT","H","HU","B","-0.3393"
"516-13","2018","PT","H","HU","B","-0.3388"
"444-17","2018","PT","H","HU","B","-0.3383"
"060-08","2018","PT","H","HU","B","-0.3347"
"638-17","2018","PT","H","HU","B","-0.3219"
"577-13","2018","PT","H","HU","B","-0.3195"
"055-17","2018","PT","H","HU","B","-0.3194"
"019-16","2018","PT","H","HU","B","-0.3183"
"282-07","2018","PT","H","HU","B","-0.3093"
"247-14","2018","PT","H","HU","B","-0.3088"
"027-16","2018","PT","H","HU","B","-0.3072"
"021-18","2018","PT","H","HU","B","-0.2836"
"299-13","2018","PT","H","HU","B","-0.2825"
"062-18M","2018","PT","M","HU","B","-0.2699"
"457-08","2018","PT","H","HU","B","-0.2593"
"184-15M","2018","PT","M","HU","B","-0.2593"
"528-16","2018","PT","H","HU","B","-0.2566"
"119-07","2018","PT","H","HU","B","-0.2515"
"369-15M","2018","PT","M","HU","B","-0.2511"
"414-08","2018","PT","H","HU","B","-0.248"
"413-07E","2018","PT","H","HU","B","-0.2402"
"070-12","2018","PT","H","HU","B","-0.2375"
"452-12","2018","PT","H","HU","B","-0.2213"
"139-17","2018","PT","H","HU","B","-0.2129"
"255-17","2018","PT","H","HU","B","-0.2117"
"261-18","2018","PT","H","HU","B","-0.2027"
"229-17","2018","PT","H","HU","B","-0.1974"
"189-18M","2018","PT","M","HU","B","-0.1946"
"510-16","2018","PT","H","HU","B","-0.1902"
"097-12","2018","PT","H","HU","B","-0.1864"
"099-09","2018","PT","H","HU","B","-0.1846"
"543-12","2018","PT","H","HU","B","-0.184"
"223-16","2018","PT","H","HU","B","-0.1793"
"255-09","2018","PT","H","HU","B","-0.1708"
"257-18","2018","PT","H","HU","B","-0.1658"
"355-13","2018","PT","H","HU","B","-0.1642"
"054-17","2018","PT","H","HU","B","-0.1558"
