"ARETE","AÑO","Estado","SEXO","RAZA","COLOR","MIC_VG"
"539-13","2018","PT","H","HU","B","1.1008"
"620-17","2018","PT","H","HU","B","1.138"
"440-06","2018","PT","H","HU","B","1.1394"
"476-08","2018","PT","H","HU","B","1.17"
"473-16","2018","PT","H","HU","B","1.1965"
"044-12","2018","PT","H","HU","B","1.2094"
"639-07","2018","PT","H","HU","B","1.2297"
"299-09","2018","PT","H","HU","B","1.2761"
"554-11","2018","PT","H","HU","B","1.3402"
"022-08","2018","PT","H","HU","B","1.3586"
"355-10","2018","PT","H","HU","B","1.3657"
"076-12","2018","PT","H","HU","B","1.4039"
"363-15","2018","PT","H","HU","B","1.4149"
"362-09","2018","PT","H","HU","B","1.4307"
"161-15","2018","PT","H","HU","B","1.4342"
"012-07","2018","PT","H","HU","B","1.4368"
"509-10","2018","PT","H","HU","B","1.6574"
"404-16","2018","PT","H","HU","B","1.698"
"378-09","2018","PT","H","HU","B","1.7343"
"134-07","2018","PT","H","HU","B","1.7401"
"222-16","2018","PT","H","HU","B","1.9156"
"208-06","2018","PT","H","HU","B","1.9818"
"121-14","2018","PT","H","HU","B","2.1218"
"066-16","2018","PT","H","HU","B","2.2861"
